title,genre,release_date,cast,directors,genres,movie_tone,plot
Krishan Avtaar,Action,1993-06-25,"['Mithun Chakraborty', 'Somy Ali', 'Hashmat Khan']",['Ashok Gaekwad'],['Action'],"['dark', 'neutral', 'exciting']",Police officers Krishan and Avtaar are asked to investigate a case involving missing children. The inquiry leads them to some politicians and corrupt officials in their department.
Sainik,"Action, Drama, Romance",1993-06-30,"['Madan Joshi', 'Dharam Veer Ram']",['Sikander Bharti'],"['Action', 'Drama', 'Romance']","['uplifting', 'serious', 'tense']","Lieutenant Suraj Dutt has been in the Indian army for years. It is now time for him to take a leave of absence so that he can meet his father, Retired Colonel Yashpal Dutt, and sister, Minni. He travels home, and on the way rescues some school children held hostage by a group of armed men. The media portrays him as a hero, and it is here that he meets with a young woman named Alka, and both fall in love with each other. Alka and Suraj get the approval of their respective families' and get married. Minni also gets married to a young man named Vijay Ghai. Shortly after the marriage, Suraj leaves his pregnant wife and re-joins duty at the border. His father is the first one to get the news that he is missing, believed dead. He decides to keep his news from Alka and Minni. What Yashpal does not know that both Minni and Alka have already received this devastating news - and both have decided to keep a brave front and also hide it from each other..."
Badi Bahen,"Drama, Family",1993-07-02,"['Govardhan Asrani', 'Raj Babbar', 'Mohan Choti']",['Kalpataru'],"['Drama', 'Family']","['thought-provoking', 'serious', 'neutral']","Jyoti, a girl found by the riverbank, is adopted by a gardener who works for a wealthy family. Years later, she finally finds her true identity amidst love, deceit and twists of fate."
Maya Memsaab,"Drama, Mystery, Romance",1993-07-02,"['Gustave Flaubert', 'Sitanshu Yashaschandra', 'Ketan Mehta']",['Ketan Mehta'],"['Drama', 'Mystery', 'Romance']","['serious', 'neutral', 'heartwarming']","A frustrated housewife whose marriage to an average man does not meet her expectations enters into an affair with a younger man. Of course, there are no easy escapes from reality."
Hum Hain Rahi Pyar Ke,"Family, Comedy, Romance, Drama",1993-07-05,"['Robin Bhatt', 'Aamir Khan', 'Sujit Sen']",['Mahesh Bhatt'],"['Family', 'Comedy', 'Romance', 'Drama']","['thought-provoking', 'serious', 'neutral']","Rahul Malhotra (Aamir Khan) is the manager of the heavily in debt family business. He is also the guardian of his dead sister's mischievous kids. Rahul hires Vaijayanti (Juhi Chawla) as governess. Vaijayanti is a runaway from home as she does not want to marry the man her orthodox family has chosen for her. Predictably, Rahul and Vaijayanti fall in love. Meanwhile, Maya (Navneet Nishan), a rich girl in love with Rahul tries to ruin his family and his business."
Shaktiman,"Action, Crime, Drama",1993-07-09,['K.C. Bokadia'],['K.C. Bokadia'],"['Action', 'Crime', 'Drama']","['uplifting', 'tense', 'serious']","Businessman Rai Bahadur Laxmi Narayan lives a wealthy lifestyle in Bombay along with his wife, Lakshmi. Although they have been married for several years, they have no children. While on a trip to Simla, they get adopt their servant, Diler's son, re-name him Vicky, and bring him back home, much to the dismay of Diler's wife, Parvati. Aometime later, Lakshmi gets pregnant and re-visits Simla, meets with an accident and passes away, leaving behind a new-born son, Amar. Diler wants to kill Amar, but Parvati wants to return him to Laxmi Narayan, and runs away to Bombay. Diler informs his employer that both his wife and son have passed away and have been cremated. Diler re-locates to Bombay, follows her but is unable to locate Parvati. She does reach Bombay along with Amar but she, in turn, is unable to locate Laxmi Narayan. Years later Amar has grown up, lives with Parvati in Versova, works as a Police Inspector in Sion Police Station, and is in love with Priya, the Superintendent of Police's daughter, while Diler is a taxi-driver, and Vicky is an alcoholic and wants to wed Priya. Their lives will soon interline and become complicated with blackmail, deceit, and murder.—rAjOo (gunwanti@hotmail.com)"
Sir,"Drama, Romance",1993-07-09,['Jay Dixit'],['Mahesh Bhatt'],"['Drama', 'Romance']","['thought-provoking', 'serious', 'neutral']","Sir is a 1993 Bollywood film directed by Mahesh Bhatt starring Naseeruddin Shah, Pooja Bhatt, Atul Agnihotri and Paresh Rawal."
Sir,"Drama, Romance",1993-07-09,['Jay Dixit'],['Mahesh Bhatt'],"['Drama', 'Romance']","['thought-provoking', 'serious', 'neutral']","A prosperous young Indian man falls in love with his servant, a widow with the dream of becoming a fashion designer."
Sahibaan,"Drama, Romance",1993-07-16,['Armaan Shahabi'],['Ramesh Talwar'],"['Drama', 'Romance']","['thought-provoking', 'serious', 'neutral']","Sahibaan, a village girl, is in love with Gopi, a labourer. She rejects a marriage proposal from Vijay, who is a womaniser. Now Vijay tries to get rid of Gopi in order to marry Sahibaan."
Antim Nyay,"Action, Crime, Drama",1993-07-23,"['Madan Joshi', 'Phani Majumdar']",['Sukhwant Dhadda'],"['Action', 'Crime', 'Drama']","['uplifting', 'tense', 'serious']","Jay Singh lives a middle-classed lifestyle along with his dad, Raghunath, and mom, in Bombay. His dad is killed, and both he and his mother attempt to get justice, but their efforts prove to be all in vain. Then he meets with Seema, the only daughter of Editor Aadesh Varma, both fall in love and get engaged. Jay takes a course in Indian Police Services and hopes to become a police officer."
Phool,Romance,1993-07-29,"['Kumar Gaurav', 'Madhuri Dixit', 'Sunil Dutt']",['Singeetam Srinivasa Rao'],['Romance'],"['neutral', 'uplifting', 'heartwarming']",Phool is a 1993 Bollywood film directed by Singeetam Srinivasa Rao starring Kumar Gaurav and Madhuri Dixit in lead roles along with Sunil Dutt and Rajendra Kumar in supporting roles.
Aadmi Khilona Hai,"Drama, Romance",1993-07-30,"['Jeetendra', 'Reena Roy', 'Govinda']",['J. Om Prakash'],"['Drama', 'Romance']","['thought-provoking', 'serious', 'neutral']","The Verma family consists of two brothers, Vijay and Sharad (Jeetendra and Govinda respectively), Vijay's wife, Ganga (Reena Roy), and their daughter. Sharad is unmarried and is studying in college, while Vijay runs the household on his income. In college, Sharad meets with Punam (Meenakshi Sheshadhri) and both are attracted to each other. Ganga and Vijay get them married, but permit them a married life only after they complete their studies, which they do so. They are devastated to learn that Punam cannot be a mother, so Ganga lets Punam mother her child. Soon Sharad gets a job, which gets him to re-locate to another city, and there are tearful good-byes. Punam decides to keep Ganga's child with her. But Ganga has been kind to Punam and Sharad for a reason, and now the time has come for payback."
Police Wala,Romance,1993-08-01,['Anees Bazmee'],['Sikander Bharti'],['Romance'],"['neutral', 'uplifting', 'heartwarming']","After the brutal murder of Jagmohan's father, Inspector Rakesh Nath, his mother loses her mind and is unable to communicate with anyone. Jagmohan grows, educates himself, and becomes a plain-clothes police officer, who has been assigned to infiltrate a notorious gang of smugglers and drug dealers. He does so successfully, and is accepted in the top hierarchy of this gang. He gets to meet two of the partners, Tejeshwar Choudhury, and Ravindra Chakravorty alias Ranu Dada. Jagmohan alias Jimmy collects all necessary evidence and submits them to the Police Commissioner, who arranges for a police party to raid and arrest the culprits. What Jagmohan did not know that Tejeshwar and Ravindra have a third partner - one who knows Jagmohan's real identity - and has abducted his mother also - with a view to kill her unless and until the raid is called off. Jagmohan will get the shock of his life when he finds out who the third partner is, and he will also find out who killed his father. But will the raid be called off? And will Jagmohan meet the same fate as his father?—rAjOo (gunwanti@hotmail.com)"
Phool Aur Angaar,"Action, Drama",1993-08-02,['N. Chandra'],['Ashok Gaekwad'],"['Action', 'Drama']","['serious', 'tense', 'dark']",Action-packed thriller featuring Mithun Chakrobarthy
Gumrah,"Drama, Action, Crime",1993-08-03,"['Robin Bhatt', 'Sujit Sen']",['Mahesh Bhatt'],"['Drama', 'Action', 'Crime']","['uplifting', 'tense', 'serious']","Gumrah is a 1963 Hindi film produced and directed by B. R. Chopra. The film stars Sunil Dutt, Ashok Kumar, Mala Sinha, Nirupa Roy, Deven Verma and Shashikala. The film's music was composed by Ravi while were by Sahir Ludhianvi. The film was remade to Malayalam as Vivahita (1970) done by super actress Padmini, Prem Nazir and Satyan. Malayalam version was also a superhit."
Gumrah,"Drama, Action, Crime",1993-08-03,"['Robin Bhatt', 'Sujit Sen']",['Mahesh Bhatt'],"['Drama', 'Action', 'Crime']","['uplifting', 'tense', 'serious']","Roshni Chadha makes her living, singing in various places and this makes her the breadwinner of her home. She soon gets to meet the handsome and wealthy Rahul Malhotra, who finds out that she can actually sing professionally and he helps her to attain this goal, which soon became a success and Roshni falls in love with Rahul and finds out that he has the same feelings for her. On a foreign trip, Roshni is arrested by the police for having in her possession cocaine, Rahul disappears leaving Roshni in hot-soup and now she must prepare to undergo her prison terms as there is no one to help her."
Khal-Naaikaa,Thriller,1993-08-06,"['Bharat B. Bhalla', 'Sachin Bhowmick', 'Kamleshwar']",['Saawan Kumar Tak'],['Thriller'],"['suspenseful', 'neutral', 'tense']",The lesser known Bollywood remake of The Hand that Rocks the Cradle.
Khal Nayak,"Action, Music",1993-08-06,"['Subhash Ghai', 'Ram Kelkar', 'Kamlesh Pandey']",['Subhash Ghai'],"['Action', 'Music']","['dark', 'neutral', 'exciting']","Ballu is a notorious criminal who is wanted by the police for a plethora of crimes. Bright and ambitious Inspector Ram finally arrests him, only to have Ballu escape right under his nose. Ram's girlfriend, Ganga volunteers to go undercover to trap Ballu and help restore Ram's reputation. Things get more complicated however, when Ballu falls for her and she finds that she isn't entirely immune to his charms."
Chor Aur Chand,"Drama, Crime, Action, Adventure, Romance",1993-08-11,"['Aditya Pancholi', 'Pooja Bhatt', 'Aruna Irani']",['Pavan Kaul'],"['Drama', 'Crime', 'Action', 'Adventure', 'Romance']","['uplifting', 'tense', 'serious']",Reema runs away from her home to avoid a forced marriage. She is joined by two criminals who are escaping the law as well as getting hunted by a gangster.
Izzat Ki Roti,Drama,1993-08-13,"['Anwar Khan', 'K. Pappu', 'M. Parvez']",['K. Pappu'],['Drama'],"['neutral', 'serious', 'emotional']","Vijay and Veeru are truck drivers. A turn of events leads to the imprisonment of Veeru and Vijay receives a truck as a gesture of appreciation for his honesty. Upon release, Veeru abducts Vijay's son."
Dhartiputra,"Action, Drama",1993-08-20,['Iqbal Durrani'],['Iqbal Durrani'],"['Action', 'Drama']","['serious', 'tense', 'dark']","Yashpal tries to rape Jeeva and her husband, Shiva, stops him while she manages to escape. However, Yashpal kills him and she vows to avenge his death."
Zakhmo Ka Hisaab,"Action, Crime, Drama",1993-08-20,"['Tanveer Khan', 'Rafik Talukdar', 'Sardar Talukdar']",['Sardar Talukdar'],"['Action', 'Crime', 'Drama']","['tense', 'serious', 'dark']","Suraj (Govinda) lives with is parents viz, dad (Aloknath), mom Savitri (Seema Deo), sister Pooja (Parijat), elder brother Amar, his sister-in-law, and a niece and nephew. Amar is employed in the persian gulf and sends some money so that the family can find a suitable groom for Pooja. When Suraj goes to deposit the money in the bank, some bankrobbers intercept him and take his money. Since the money was not deposited in the bank, the bank is unable to guarantee the amount. Suraj does not share this info with his family, so that they needn't worry. Suraj goes in search of the culprits and meets up with a petty thief and pick-pocket Bindiya (Farha). He feels sorry for her, and takes her home and introduces her to his family, and promises to marry her."
Dil Hai Betaab,"Action, Drama, Romance",1993-08-27,"['Vivek Mushran', 'Ajay Devgn', 'Pratibha Sinha']",['K.C. Bokadia'],"['Action', 'Drama', 'Romance']","['uplifting', 'serious', 'tense']","Meena is an attractive young lady who lives with her middle-classed parents in a city in India. Her father is Parshuram who works as a chaprasi (peon) with an organization run by the wealthy Vikram Singh. Meena meets with Raja, a fellow collegian, and both fall in love with each other. The two lovers run into problems when they find out that another young man by the name of Ajay also loves Meena and will not permit anyone to get in their way. But when Meena appeals to Ajay, he relents and gives his blessings to the young couple. Just when the two think the line is clear for them to marry, Meena's parents receive a proposal from Vikram Singh. Greedy Parshuram is delighted with this, and hopes that he will get a promotion for being the father-in-law of the owner of his employer. The question remains will Meena also react like her dad, and agree to marry Vikram?"
The Melody of Love,"Drama, Music",1993-09-02,['Dev Anand'],['Dev Anand'],"['Drama', 'Music']","['serious', 'neutral', 'uplifting']",A rich boy Manu and a poor girl Mink are in love and want to get married.
Gurudev,"Action, Drama, Romance",1993-09-03,"['Prayag Raj', 'K.K. Shukla', 'K.K. Singh']",['Vinod Mehra'],"['Action', 'Drama', 'Romance']","['uplifting', 'serious', 'tense']","Inspector Dev Kumar and Gaurav alias Guru are childhood friends. The problem is that while Dev Kumar is with the police, his dad, Parshu Ram, works with the underworld, and is the right-hand man of Kakhan, a criminal don, who is also Guru's dad. When Inspector Khan is assigned the case of apprehending Kakhan, his first suspect is none other than Dev himself, and Dev must prove to Khan that he is earnest, and will not hesitate to arrest Kakhan. It remains to be seen if Dev will really apprehend his friend's dad, or just play around without really getting anywhere."
Aadmi,"Action, Crime, Drama",1993-09-07,"['Salim Akhtar', 'Arshad Khan', 'Santosh Saroj']",['Arshad Khan'],"['Action', 'Crime', 'Drama']","['tense', 'serious', 'dark']","Rajesh, is very insecure and possessive almost to the point of an obsession. He introduces Meena to his close and best friend, Dr. Shekhar, and soon gets formally engaged to Meena. Thereafter, Rajesh and Meena have an automobile accident, in which Rajesh becomes paralyzed and must be confined in a wheelchair. It is then that Rajesh finds out that Shekhar and Meena are having an affair, and the old murderous and possessive hatred, that he had managed to conceal, surfaces again - and this time will it will be Shekhar's turn."
Aadmi,"Action, Crime, Drama",1993-09-07,"['Salim Akhtar', 'Arshad Khan', 'Santosh Saroj']",['Arshad Khan'],"['Action', 'Crime', 'Drama']","['tense', 'serious', 'dark']","The father of a young mill worker stumbles upon a secret of national consequence. As a result, his family is killed and the son is framed for the murder. The son vows to take revenge and do justice."
Aankhen,"Comedy, Action, Crime, Thriller, Drama",1993-09-09,['Anees Bazmee'],['David Dhawan'],"['Comedy', 'Action', 'Crime', 'Thriller', 'Drama']","['exciting', 'tense', 'serious']",Two good-for-nothing brothers are embroiled in a conspiracy involving a political assassination and try their best to save the country.
Aankhen,"Comedy, Action, Crime, Thriller, Drama",1993-09-09,['Anees Bazmee'],['David Dhawan'],"['Comedy', 'Action', 'Crime', 'Thriller', 'Drama']","['exciting', 'tense', 'serious']","After his hatred of dishonesty costs him his job, an embittered man goes over to the dark side and plots to rob the bank he once managed."
Veerta,"Action, Drama",1993-09-10,"['Sunny Deol', 'Jagdarshan Samra', 'Jaya Prada']",['Shibu Mitra'],"['Action', 'Drama']","['serious', 'tense', 'dark']","Multi-millionaire Balwant Rai is a widower who lives with his daughter Uma and a school going son Amar alias Munna. Since Uma is of marriage-able age, Balwant decides to get her marry to Sunderlall's son Raghuveer and they all move in to live with Balwant at his estate. In order to take cover of Balwant's entire property Sunderlall and Raghuveer first have him killed, locked up Uma in a den and attempt to kill Munna who is saved by a village boy named Mangal. Years later Mangal and Munna have now matured, and Munna has decided to make his friend Mangal the managing director of the entire Rai group of industries much to the disappointment of Sunderlall who has all time been the M.D of Rai industries."
15th August,Drama,1993-09-17,"['Ronit Roy', 'Tisca Chopra', 'Shakti Kapoor']",['Vicky Ranawat'],['Drama'],"['neutral', 'serious', 'emotional']","Nagpal kills Chaudhry and his son, Ram, a military officer. Chaudhry's second son, Vikram, vows to destroy Nagpal who is all set to become the Chief Minister on the upcoming Indian Independence Day."
Hum Hain Kamaal Ke,"Action, Comedy, Crime",1993-09-21,['Anwar Khan'],['Vijay Reddy'],"['Action', 'Comedy', 'Crime']","['uplifting', 'tense', 'dark']","Nilamber and Pitamber are deaf and blind respectively, and together they attempt to solve a murder mystery, resulting in a number of comic mishaps."
Pehchaan,"Action, Crime, Drama",1993-10-03,['Robin Bhatt'],['Deepak S. Shivdasani'],"['Action', 'Crime', 'Drama']","['tense', 'serious', 'dark']","A convict by the name of Yogi Shankar is accused of sexual molestation in court. The Judge Jagdish Verma who is responsible for passing Jogi's sentence is well aware of Jogi's behavior as he was once Jogi's defense advocate. With no hesitation Jagdish Verma grant a seven years period of rigorous punishment to Jogi despite his pleadings. The Judge family consists of his wife Urmilla, sons Kunal and Karan Verma; on completion of his seven years sentence Jogi is released from jail and abducts Urmilla, finds out that she is pregnant, ensures that she gives birth to a baby girl Tina and then kills her."
Gunaah,"Action, Thriller",1993-10-08,"['Sunny Deol', 'Dimple Kapadia', 'Sumeet Saigal']",['Mahesh Bhatt'],"['Action', 'Thriller']","['tense', 'dark', 'suspenseful']","A doctor finds an injured man and saves his life. But, the man has lost his memory. He sets out in search of his past and the people responsible for his plight."
Gunaah,"Action, Thriller",1993-10-08,"['Sunny Deol', 'Dimple Kapadia', 'Sumeet Saigal']",['Mahesh Bhatt'],"['Action', 'Thriller']","['tense', 'dark', 'suspenseful']","Tough cop Prabha (Bipasha Basu) is haunted by the demons of her past. Being an illegitimate daughter of a prostitute, she has had a very bad childhood and there once occurred an incident in her life when she was driven to the point of committing a murder. But today, now that she is a cop, she believes that she can clear her conscience by reforming a criminal. Prabha's life is turned topsy-turvy with the entry of Aditya (Dino Morea), who is a good person at heart but was forced to take the path of crime due to the wrong doing of the system. Prabha goes to Aditya's house to nab him, but gets carried away when she sees him bathing...."
Pehla Nasha,"Thriller, Romance, Drama",1993-10-13,"['Sanjay Chhel', 'Ashutosh Gowariker', 'Neeraj Vora']",['Ashutosh Gowariker'],"['Thriller', 'Romance', 'Drama']","['thought-provoking', 'tense', 'serious']","A down and out actor,Deepak Bakshi,sees a woman getting attacked. He lands himself into trouble with the police as he is now a suspect for murder."
Ek Hi Raasta,Action,1993-10-22,"['Ajay Devgn', 'Raveena Tandon', 'Saeed Jaffrey']",['Deepak Bahry'],['Action'],"['dark', 'neutral', 'exciting']","Can Karan Singh stop Kubla, the vile terrorist from ruling over all of India and save Col. Choudry and his daughter Priya?"
Dil Tera Aashiq,"Action, Crime, Comedy",1993-10-22,"['Reema Rakesh Nath', 'Sameer']","[""Lawrence D'Souza""]","['Action', 'Crime', 'Comedy']","['uplifting', 'tense', 'dark']",Vijay falls in love with Soniya in the dancing school where both are dance instructors. Thakur who is a confirmed bachelor is also drawn towards Savitri Devi; who is being impersonated by Soniya.
Chandra Mukhi,"Comedy, Fantasy, Romance",1993-10-22,"['Anwar Khan', 'Salman Khan']",['Debaloy Dey'],"['Comedy', 'Fantasy', 'Romance']","['neutral', 'lighthearted', 'funny']",Chandra Mukhi is an angel who lands on earth in search of her magic wand. She must get it before a devil named Dhola lays his hands on it.
Santaan,"Drama, Family",1993-11-03,"['Kamlesh Pandey', 'Dasari Narayana Rao', 'Sreeraj']",['Dasari Narayana Rao'],"['Drama', 'Family']","['neutral', 'serious', 'emotional']",Sarju and Laxmi have done everything to educate their son Amar and have lots of hope from him but the but Amar desires to become rich and disowns his parents who then face only sufferings in their life.
Bedardi,"Action, Crime",1993-11-12,"['Devjyoti Roy', 'Dilip Shukla']",['Krishnakant Pandya'],"['Action', 'Crime']","['uplifting', 'tense', 'dark']","Mumbai-based Saxena family consists of Professor Nirbhay, his wife Preeti, their school-going daughter Ritu and Nirbhay's college-going brother and sister, Vijay and Suman respectively. Vijay meets with fellow collegian Honey, and after a few altercations, they fall in love with each other. Vijay is introduced to Honey's maternal uncle, Bhagwandas, and he approves instantly. Honey's long-estranged brother, Kanhaiya, re-enters her life and asks her not to see Vijay anymore. Then the lives of the entire Saxena family change drastically when money allotted for Suman's marriage is stolen, and Vijay accepts a contract to kill a man named Gulla - not knowing that he is being set up to kill none other than Nirbhay himself."
Baazigar,"Crime, Thriller",1993-11-12,"['Robin Bhatt', 'Akash Khurana', 'Javed Siddiqui']","['Abbas Alibhai Burmawalla', 'Mastan Alibhai Burmawalla']","['Crime', 'Thriller']","['suspenseful', 'neutral', 'tense']","Conflict between the ""haves"" and ""have nots"" in a feudal state, is spearheaded by an outlaw, with his band of associates, horse and dog, providing all action, suspense and tempo. The chief minister and his supporters try their best to thwart the revolt which ultimately succeeds in unexpected way. - It was a unique world for ""Baazigar"", where the pattern of society was thrilling, fascinating and with liberty - a strange socialistic pattern!. . The chief Minister of State Mansingh believed that Baazigar is a dangerous blood-thirsty dacoit of notorious indetification in society!"
Baazigar,"Crime, Thriller",1993-11-12,"['Robin Bhatt', 'Akash Khurana', 'Javed Siddiqui']","['Abbas Alibhai Burmawalla', 'Mastan Alibhai Burmawalla']","['Crime', 'Thriller']","['suspenseful', 'neutral', 'tense']",A young man with a vendetta against a business tycoon seduces and kills his eldest daughter and then proceeds to his younger daughter but she begins to suspect her new lover's ulterior motive.
Bhagyawan,"Action, Drama, Comedy",1993-12-10,"['Kamlesh Pandey', 'Keshav Rathod']",['S.K. Subash'],"['Action', 'Drama', 'Comedy']","['uplifting', 'serious', 'tense']","When Dhanraj's sister is impregnated by his boss, Dhanraj wants them to marry, but the boss refuses, leading to the sister killing herself out of shame, and Dhanraj is subsequently fired. He decides to kill himself as well, along with his entire family, but on the way to the suicide spot they stumble upon a winning lottery ticket."
Dhanwaan,"Comedy, Drama, Romance",1993-12-10,"['Robin Bhatt', 'Sujit Sen', 'Javed Siddiqui']",['K. Viswanath'],"['Comedy', 'Drama', 'Romance']","['serious', 'neutral', 'lighthearted']","Kashinath (Ajay Devgn) and Imli (Manisha Koirala) are childhood sweethearts and everyone expects them to marry. Then comes rich, wealthy, and sickly Anjali Chopra (Karisma Kapoor) into Kashinath's life, and then everything changes. Anjali gives up on her sickliness and becomes bold, thanks to Kashinath's care. Anjali falls in love with Kashinath, and boldly tells her dad, Manmohan Chopra (Dalip Tahil), that she will only marry Kashinath. But her dad wants her to wed Ajit (Avinash Wadhawan). Imli reveals her secret that she has heart disease, and if not treated, she will die. Kashinath, unaware of Anjali's affections must find the money to save his true love. What sacrifices will he have to make in order to achieve this?"
Shatranj,"Action, Comedy, Drama, Romance",1993-12-17,"['Sanjeev Duggal', 'Kader Khan', 'Yunus Sajawal']",['Aziz Sejawal'],"['Action', 'Comedy', 'Drama', 'Romance']","['uplifting', 'tense', 'serious']",Jai is hired to locate the daughter and wife of a wealthy man after they vanish under mysterious circumstances
Shatranj,"Action, Comedy, Drama, Romance",1993-12-17,"['Sanjeev Duggal', 'Kader Khan', 'Yunus Sajawal']",['Aziz Sejawal'],"['Action', 'Comedy', 'Drama', 'Romance']","['uplifting', 'tense', 'serious']",Dharamraj dislikes women and has told his younger brothers to stay away from them.
Tahqiqaat,"Crime, Mystery",1993-12-18,['K. Pushparajan'],['A. Jagannathan'],"['Crime', 'Mystery']",['neutral'],Villagers are shocked by the sudden death of Mary. Father Prem Fernandes gets legal permission to conduct a postmortem on Mary's body by removing it from her grave.
Darr,"Drama, Thriller, Action, Romance",1993-12-23,"['Honey Irani', 'Javed Siddiqui']",['Yash Chopra'],"['Drama', 'Thriller', 'Action', 'Romance']","['uplifting', 'serious', 'tense']",A woman is caught between one man's love and another man's obsession. She fears one and fears for the other. One stands for love and the other for life. Who will she choose?
Teri Payal Mere Geet,Romance,1993-12-24,['Naushad'],['Rehman Naushad'],['Romance'],"['neutral', 'uplifting', 'heartwarming']",Premi loved Lailajaan and one day he finds out that she works at a brothel. Later Premi finds out that Lailajaan was an ordinary dancer and he tries to win her back.
Balmaa,Romance,1993-12-24,"['Avinash Wadhawan', 'Ayesha Jhulka', 'Avtar Singh Gullu']","[""Lawrence D'Souza""]",['Romance'],"['neutral', 'uplifting', 'heartwarming']",Vishal is a young college graduate who lives a poor life-style with his medically unfit mother. All his efforts in locating a job are fertile due to the lack of recommendation. Then one day while browsing through the daily newspaper he notices an advertisement for a male spouse needed for a wealthy girl named Madhu. Finding the right opportunity to grab a recommendation he immediately applies and is one of the candidates to be shortlisted and single out for an interview only to be selected and then the marriage takes place. It is this marriage that will change the lives of Vishal and Madhu forever.
Aasoo Bane Angaarey,Action,1993-12-31,"['Jeetendra', 'Madhuri Dixit', 'Kiran Kumar']",['Mehul Kumar'],['Action'],"['uplifting', 'tense', 'dark']","After the death of his first wife, Mr. Verma, who's the managing director of his firm remarries Durgadevi (Bindu), so that she can look after his son, Ravi Verma (Jeetendra). She actually seems to have a good relationship with both him and Ravi. Subsequently, Durga also gets pregnant and gives birth to a son Kiran Verma (Kiran Kumar). After a few years as Mr. Verma passes away, Durga decides to enter into politics with the help of Sewakram (Prem Chopra). Ravi takes over from his father as the managing director of his firm and instantly falls in love with a poor girl, Usha (Madhuri Dixit) after seeing a dance performance of hers."
Hanste Khelte,"Comedy, Fantasy",1994-01-01,"['Ishrat Ali', 'Aparajita', 'Govardhan Asrani']",['Bharat Rangachary'],"['Comedy', 'Fantasy']","['neutral', 'lighthearted', 'funny']",Three friends who don't take their life seriously are suspended from college so they decide to take revenge on the principal. On reaching his house they find that someone has already killed him.
Hanste Khelte,"Comedy, Fantasy",1994-01-01,"['Ishrat Ali', 'Aparajita', 'Govardhan Asrani']",['Bharat Rangachary'],"['Comedy', 'Fantasy']","['neutral', 'lighthearted', 'funny']","God issues instructions for Earth's destruction due to lack of love, sacrifice, kindness, and compassion. Three heavenly angels, Om, Namah, and Shiva, request a week to demonstrate these virtues, allowing them to visit Earth but not to be visible or assist humans."
Madam X,"Thriller, Crime",1994-01-01,"['Anwar Khan', 'K.B. Patel', 'Sameer']",['Deepak S. Shivdasani'],"['Thriller', 'Crime']","['tense', 'suspenseful', 'neutral']","Inspector Vijay apprehends a female criminal don, Madam X and logged her underground so that he can pressure her to release information about her gang. He then approaches knife sharpener, Sonu who is the look-alike of Madam X, teaches her Madam X etiquette and mannerism and then inducts her in the Madam X gang so that she can provide him with their where-about and the criminal activities they are involved in. But Sonu and her family are made targets when the real Madam X escapes."
Ab To Aaja Saajan Mere,"Drama, Romance",1994-01-01,"['Pooja Bhatt', 'Seema Nahata']",['Rakesh Nahata'],"['Drama', 'Romance']","['adventurous', 'thought-provoking', 'serious']","Ganga lives a poor lifestyle in a village along with her widowed dad, Ramdas. She is friendly with wealthy Jamuna, who is the only daughter of Thakur Dharam Singh. She comes to the rescue of an unconscious male, who later identifies himself as Shyam, who had run away from home as his dad, Thakur Veer Singh, was forcing him to get married. Ganga falls in love with him and informs her father accordingly. Both make a journey to Ganga's aunt to collect jewelry for her marriage. When they return Jamuna is thrilled when she finds out that Ganga is getting engaged but is devastated when she finds out that her best friend's to-be fiancé is none other than Shyam. Both inseparable companions, who always held hands in friendship, now exchange slaps and each vows to get married to Shyam. The question remains: who will Shyam get married to?"
Khudai,Drama,1994-01-01,"['Rajesh Khanna', 'Madhavi', 'Deepika Chikhalia']",['Johny Bakshi'],['Drama'],"['neutral', 'serious', 'emotional']","Raj Anand is a Bollywood movie director and lives a wealthy lifestyle with his wife, Padmini, and only son, Varun. He is respected and liked in the industry and is known to be a man of honesty and principles. He feels that Varun should make a debut in one of his movies, which he decides to call ""Nagar Vadhu"" (Prostitute), and hopes to cast a well-known Bollywood actress, Sakhi Swami, opposite Varun in the female lead role. The only problem is that Varun dislikes acting, but when Raj persuades him, he changes his mind, and agrees to act in this movie. Varun meets with Sakhi, and both are attracted to each other. This does not auger well with Raj and he puts a stop to the production immediately. It is then that Varun finds out that his principled father has been known to have an illicit relationship with Sakhi. How will this knowledge help him overcome the wall of mistrust that has now arisen between his dad, himself, and Sakhi."
Aranyaka,Drama,1994-01-01,['Supavitra Babul'],['Apurba Kishore Bir'],['Drama'],"['neutral', 'serious', 'emotional']","Raja Saheb goes on a hunting expedition in cannibal country - the result, sex and a meal with an unusual main course."
Udhaar Ki Zindagi,Drama,1994-01-01,"['K.V. Raju', 'Sayed Sultan']",['K.V. Raju'],['Drama'],"['neutral', 'serious', 'emotional']","The film is a remake of the Telugu movie Seetharamaiah Gari Manavaralu (1991). This was Kajol's first author-backed role, which was critically acclaimed"
Triyacharitra,Drama,1994-01-01,['Shivmurti'],['Basu Chatterjee'],['Drama'],"['serious', 'suspenseful', 'neutral']","A daughter of poor parents was engaged to a man when she was 13. The man is away working in Calcutta. In the meanwhile, she befriends a truck-driver who promises her parents a huge amount of money. The girl is snatched away by her father-in-law and raped by him. But she is punished for his crime."
